\\ReferenceType\\;ID_82;ReferenceType;;2018-11-21 14:02:02.024494;2018-11-21 14:02:02.024497;2018-11-21 14:02:02.024500;TEST_OSIRIS;None
\\ReferenceDatabase\\;ID_83;ReferenceDatabase;;2018-11-21 14:02:02.024566;2018-11-21 14:02:02.024569;2018-11-21 14:02:02.024571;TEST_OSIRIS;None
\\ReferenceValue\\;ID_84;ReferenceValue;;2018-11-21 14:02:02.024642;2018-11-21 14:02:02.024645;2018-11-21 14:02:02.024647;TEST_OSIRIS;None
\\PfamDomain\\;ID_85;PfamDomain;;2018-11-21 14:02:02.024719;2018-11-21 14:02:02.024722;2018-11-21 14:02:02.024724;TEST_OSIRIS;None
\\PfamId\\;ID_86;PfamId;;2018-11-21 14:02:02.024795;2018-11-21 14:02:02.024798;2018-11-21 14:02:02.024800;TEST_OSIRIS;None
\\MutationPredictionAlgorithm\\;ID_87;MutationPredictionAlgorithm;;2018-11-21 14:02:02.024868;2018-11-21 14:02:02.024871;2018-11-21 14:02:02.024873;TEST_OSIRIS;None
\\MutationPredictionValue\\;ID_88;MutationPredictionValue;;2018-11-21 14:02:02.024940;2018-11-21 14:02:02.024943;2018-11-21 14:02:02.024945;TEST_OSIRIS;None
\\MutationPredictionScore\\;ID_89;MutationPredictionScore;;2018-11-21 14:02:02.025014;2018-11-21 14:02:02.025017;2018-11-21 14:02:02.025019;TEST_OSIRIS;None
\\DNARegionName\\;ID_90;DNARegionName;;2018-11-21 14:02:02.025086;2018-11-21 14:02:02.025089;2018-11-21 14:02:02.025091;TEST_OSIRIS;None
\\DNASequenceVariation\\;ID_91;DNASequenceVariation;;2018-11-21 14:02:02.025158;2018-11-21 14:02:02.025160;2018-11-21 14:02:02.025163;TEST_OSIRIS;None
\\AminoAcidChange\\;ID_92;AminoAcidChange;;2018-11-21 14:02:02.025261;2018-11-21 14:02:02.025264;2018-11-21 14:02:02.025266;TEST_OSIRIS;None
\\GenomicSequenceVariation\\;ID_93;GenomicSequenceVariation;;2018-11-21 14:02:02.025333;2018-11-21 14:02:02.025336;2018-11-21 14:02:02.025338;TEST_OSIRIS;None
\\RNASequenceVariation\\;ID_94;RNASequenceVariation;;2018-11-21 14:02:02.025404;2018-11-21 14:02:02.025407;2018-11-21 14:02:02.025409;TEST_OSIRIS;None
\\AminoAcidChangeType\\;ID_95;AminoAcidChangeType;;2018-11-21 14:02:02.025497;2018-11-21 14:02:02.025500;2018-11-21 14:02:02.025503;TEST_OSIRIS;None
